"","Gasto público en educación, total (% del gasto del gobierno)","Tasa de alfabetización, total de adultos (% de personas de 15 años o más)","Proporción alumnos-maestro, nivel primario","Inscripción escolar, nivel primario (% neto)","Inscripción escolar, nivel secundario (% neto)","Maestros capacitados en educación de nivel primario (% del total de maestros)","pc1_educacion","pc2_educacion"
"THA",13.5660238265991,93.933879852295,16.49192,98.359025,78.01849,100,167.249605228596,-76.0859600662924
"TLA",15.1088625907898,94.1312576293945,22.41662,93.62507,77.00105,79.2059509277344,-4.76023762118439,-160.866053539723
"TMN",15.2230703830719,76.4178131103516,22.624202,92.939144,69.02903,83.6679611206055,155.63884506918,-56.8807059909158
"TON",10.9777486801148,99.4000015258789,22.5860825,95.84091,82.4053975,95.2534591674805,-32.1640534692884,-117.003342115832
"TSA",11.027269077301,72.858627319336,33.511754,87.689114,59.158616,78.4810150146485,144.633752777504,-63.7437525203431
"TSS",15.3587853431701,67.3898132324219,37.544878,73.077196,34.954626,71.2356140136719,2.42491233893258,-102.874377119282
"TUN",21.8281755447388,83.5599975585938,16.393718,97.958682,30.50368,100,149.064337003026,-61.5517187192905
"TZA",15.2589448928833,82.0199966430664,45.65323,82.933675,25.01309,99.0910835266113,-24.9967322760379,-112.472115181758
"UGA",9.07529945373536,78.5587463378906,45.59109,94.06258,19.3436066666667,74.8118438720703,136.160712347587,-58.4735167911161
"UKR",14.1417470932007,100,12.7793725,92.220714,85.076104,88.5663040161133,-41.681611730589,-119.150732152924
"URY",15.1580009460449,98.6350540161133,11.46857,98.910626,82.4426025,100,172.290003844995,-75.3445522711941
"UZB",22.5017269134521,99.9976825714111,20.046784,94.903158,89.19887,99.6339065551758,31.0221427089989,-107.997876876584
"VNM",15.2803062438965,95.7538681030273,19.598274,98.388462,35.77421,99.7123886108398,154.426641789042,-65.0677409267317
"VUT",7.22477674484252,89.0999984741211,24.692915,79.84105,48.94452,100,-23.5104290830431,-137.945970250513
"WLD",13.6706703186035,86.6809326171875,23.33599,89.297338,65.931656,86.3088455200195,158.640474120455,-56.2549247749786
"ZAF",19.1416687011719,90.6903330485026,32.016855,85.683685,90.54401,69.1847257614136,-39.9045636968425,-117.052151749246
"ZWE",23.5270843505859,89.8499984741211,36.134645,94.17241,48.30446,97.4390106201172,164.507440504713,-71.4463967903305
